DateUTC,TimeUTC,SUM_of_MNOZSTVO
2013-07-04,1110,140133.32962
2013-07-04,1140,136639.29693
2013-07-04,1170,133444.3658
2013-07-04,1200,129878.56031
2013-07-04,1230,127931.55653
2013-07-04,1260,125570.59707
2013-07-04,1290,120180.648
2013-07-04,1320,118053.44449
2013-07-04,1350,115826.68034
2013-07-04,1380,112699.80981
2013-07-04,1410,109909.56564
2013-07-05,0,104593.50842
2013-07-05,30,103097.61441
2013-07-05,60,103169.56765
2013-07-05,90,102237.24568
2013-07-05,120,101710.86288
2013-07-05,150,101727.83209
2013-07-05,180,101473.95857
2013-07-05,210,100909.597
2013-07-05,240,104148.21515
2013-07-05,270,103325.48036
2013-07-05,300,104832.69199
2013-07-05,330,102265.13491
2013-07-05,360,107453.9072
2013-07-05,390,107585.3212
2013-07-05,420,110952.44325
2013-07-05,450,112244.88514
2013-07-05,480,114388.87909
2013-07-05,510,115343.01455
2013-07-05,540,119295.84308
2013-07-05,570,121435.02355
2013-07-05,600,123400.72112
2013-07-05,630,124315.42673
2013-07-05,660,124785.44782
2013-07-05,690,125638.95627
2013-07-05,720,127332.75365
2013-07-05,750,126910.38571
2013-07-05,780,126363.63609
2013-07-05,810,125326.46914
2013-07-05,840,127082.4977
2013-07-05,870,125611.61869
2013-07-05,900,125426.32842
2013-07-05,930,124287.59068
2013-07-05,960,122335.71894
2013-07-05,990,122092.49634
2013-07-05,1020,120493.08642
2013-07-05,1050,120366.88738
2013-07-05,1080,118417.61209
2013-07-05,1110,116833.07402
2013-07-05,1140,116382.24801
2013-07-05,1170,115321.12754
2013-07-05,1200,114272.61036
2013-07-05,1230,112924.06665
2013-07-05,1260,111008.79261
2013-07-05,1290,106462.25356
2013-07-05,1320,104249.55007
2013-07-05,1350,102201.97919
2013-07-05,1380,99981.58557
2013-07-05,1410,96988.044942
2013-07-06,0,94044.200955
2013-07-06,30,91668.299991
2013-07-06,60,92573.975287
2013-07-06,90,92566.060511
2013-07-06,120,91595.707816
2013-07-06,150,91498.386179
2013-07-06,180,90730.325943
2013-07-06,210,90685.008139
2013-07-06,240,92757.433358
2013-07-06,270,93444.275388
2013-07-06,300,94706.058406
2013-07-06,330,93837.122847
2013-07-06,360,98070.871125
2013-07-06,390,98736.616396
2013-07-06,420,101204.09777
2013-07-06,450,102630.79453
2013-07-06,480,106137.77631
2013-07-06,510,107403.54582
2013-07-06,540,111227.44987
2013-07-06,570,112947.029
2013-07-06,600,115849.89993
2013-07-06,630,116115.45589
2013-07-06,660,117259.01927
2013-07-06,690,118558.1439
2013-07-06,720,119596.48415
2013-07-06,750,119423.29708
2013-07-06,780,119527.55845
2013-07-06,810,118372.28995
2013-07-06,840,119549.76643
2013-07-06,870,119901.11655
2013-07-06,900,119086.62926
2013-07-06,930,119731.7253
2013-07-06,960,118437.59066
2013-07-06,990,118249.47149
2013-07-06,1020,118156.99902
2013-07-06,1050,118099.5548
2013-07-06,1080,116912.38105
2013-07-06,1110,116884.94795
2013-07-06,1140,115365.72848
2013-07-06,1170,112952.97057
2013-07-06,1200,111456.38805
2013-07-06,1230,110203.01354
2013-07-06,1260,107924.42576
2013-07-06,1290,103980.85982
2013-07-06,1320,102807.52339
2013-07-06,1350,101114.32795
2013-07-06,1380,99017.305656
2013-07-06,1410,95209.912576
2013-07-07,0,91400.686368
2013-07-07,30,90149.758092
2013-07-07,60,89778.49162
2013-07-07,90,89626.469379
2013-07-07,120,88937.288859
2013-07-07,150,89252.514694
2013-07-07,180,88292.776472
2013-07-07,210,88109.188928
2013-07-07,240,90804.3503
2013-07-07,270,90800.068892
2013-07-07,300,91149.846605
2013-07-07,330,89942.991932
2013-07-07,360,92562.628372
2013-07-07,390,95450.927249
2013-07-07,420,98054.87336
2013-07-07,450,99810.593928
2013-07-07,480,102394.95959
2013-07-07,510,105058.52031
2013-07-07,540,107790.71771
2013-07-07,570,109311.98016
2013-07-07,600,112264.2421
2013-07-07,630,113620.35293
2013-07-07,660,114134.20335
2013-07-07,690,114998.48599
2013-07-07,720,116073.44379
2013-07-07,750,116245.00093
2013-07-07,780,116363.01178
2013-07-07,810,114749.82354
2013-07-07,840,116224.17121
2013-07-07,870,115840.36663
2013-07-07,900,115848.36357
2013-07-07,930,115701.21532
2013-07-07,960,114434.67241
2013-07-07,990,114561.89139
2013-07-07,1020,114495.99774
2013-07-07,1050,114812.9853
2013-07-07,1080,114493.68259
2013-07-07,1110,113739.27573
2013-07-07,1140,112130.04889
2013-07-07,1170,111211.48405
2013-07-07,1200,109718.01249
2013-07-07,1230,109154.80141
2013-07-07,1260,105989.97713
2013-07-07,1290,101169.03789
2013-07-07,1320,94446.08271
2013-07-07,1350,91181.849574
2013-07-07,1380,88848.349279
2013-07-07,1410,84508.527161
2013-07-08,0,82433.073141
2013-07-08,30,81163.02239
2013-07-08,60,80465.392296
2013-07-08,90,79182.538592
2013-07-08,120,79441.281136
