merged.DateUTC,merged.Temperature_F,decom.time.series....trend..
2013-07-02,81,132058.196756394
2013-07-02,80.6,132157.321532458
2013-07-02,81,132256.446308521
2013-07-02,80.6,132355.571084584
2013-07-02,81,132454.695860647
2013-07-02,80.6,132553.820636711
2013-07-02,79,132652.945412774
2013-07-02,78.8,132752.070188837
2013-07-02,76,132851.1949649
2013-07-02,73.4,132950.319740963
2013-07-02,71,133049.444517027
2013-07-02,69.8,133148.56929309
2013-07-02,68,133247.694069153
2013-07-02,68,133346.818845216
2013-07-02,67,133445.943621279
2013-07-02,66.2,133524.404532782
2013-07-02,66,133602.865444285
2013-07-02,66.2,133681.326355787
2013-07-02,64,133759.78726729
2013-07-02,60.8,133838.248178793
2013-07-03,61,133916.709090295
2013-07-03,59,133995.170001798
2013-07-03,58,134073.630913301
2013-07-03,59,134152.091824803
2013-07-03,58,134230.552736306
2013-07-03,57.2,134309.013647809
2013-07-03,58,134387.474559311
2013-07-03,57.2,134465.935470814
2013-07-03,59,134544.396382317
2013-07-03,60.8,134622.857293819
2013-07-03,62,134648.012738278
2013-07-03,64.4,134673.168182737
2013-07-03,65,134698.323627196
2013-07-03,68,134723.479071655
2013-07-03,69,134748.634516114
2013-07-03,71.6,134773.789960573
2013-07-03,75,134798.945405032
2013-07-03,77,134824.10084949
2013-07-03,77,134849.256293949
2013-07-03,77,134874.411738408
2013-07-03,78,134899.567182867
2013-07-03,78.8,134924.722627326
2013-07-03,79,134949.878071785
2013-07-03,78.8,134975.033516244
2013-07-03,81,135000.188960703
2013-07-03,82.4,135027.064823886
2013-07-03,82,135053.94068707
2013-07-03,82.4,135080.816550254
2013-07-03,82,135107.692413438
2013-07-03,82.4,135134.568276621
2013-07-03,82,135161.444139805
2013-07-03,82.4,135188.320002989
2013-07-03,82,135215.195866172
2013-07-03,80.6,135242.071729356
2013-07-03,81,135268.94759254
2013-07-03,80.6,135295.823455724
2013-07-03,78,135322.699318907
2013-07-03,73.4,135349.575182091
2013-07-03,72,135376.451045275
2013-07-03,71.6,135403.326908459
2013-07-03,68,135401.32865728
2013-07-03,66.2,135399.330406101
2013-07-03,65,135397.332154923
2013-07-03,66.2,135395.333903744
2013-07-03,65,135393.335652565
2013-07-03,64.4,135391.337401387
2013-07-03,63,135389.339150208
2013-07-03,62.6,135387.340899029
2013-07-04,62,135385.34264785
2013-07-04,62.6,135383.344396672
2013-07-04,67,135381.346145493
2013-07-04,68,135379.347894314
2013-07-04,67,135377.349643136
2013-07-04,66.2,135375.351391957
2013-07-04,66,135373.353140778
2013-07-04,66.2,135190.63940314
2013-07-04,67,135007.925665501
2013-07-04,68,134825.211927863
2013-07-04,70,134642.498190224
2013-07-04,69.8,134459.784452586
2013-07-04,71,134277.070714947
2013-07-04,73.4,134094.356977308
2013-07-04,73,133911.64323967
2013-07-04,75.2,133728.929502031
2013-07-04,76,133546.215764393
2013-07-04,77,133363.502026754
2013-07-04,78,133180.788289116
2013-07-04,78.8,132998.074551477
2013-07-04,79,132815.360813838
2013-07-04,80.6,132632.6470762
2013-07-04,80,132339.040886925
2013-07-04,80.6,132045.434697649
2013-07-04,81,131751.828508374
2013-07-04,80.6,131458.222319099
2013-07-04,82,131164.616129824
2013-07-04,82.4,130871.009940549
2013-07-04,82,130577.403751274
2013-07-04,82.4,130283.797561998
2013-07-04,82,129990.191372723
2013-07-04,82.4,129696.585183448
2013-07-04,82,129402.978994173
2013-07-04,82.4,129109.372804898
2013-07-04,81,128815.766615622
2013-07-04,80.6,128522.160426347
2013-07-04,79,128228.554237072
2013-07-04,78.8,127966.643848144
2013-07-04,77,127704.733459215
2013-07-04,75.2,127442.823070286
2013-07-04,75,127180.912681358
2013-07-04,73.4,126919.002292429
2013-07-04,73,126657.091903501
2013-07-04,73.4,126395.181514572
2013-07-04,73,126133.271125644
2013-07-04,71.6,125871.360736715
2013-07-04,71,125609.450347787
2013-07-04,71.6,125347.539958858
2013-07-05,71,125085.629569929
2013-07-05,69.8,124823.719181001
2013-07-05,70,124561.808792072
2013-07-05,68,124299.898403144
2013-07-05,68,123976.905788486
2013-07-05,68,123653.913173829
2013-07-05,68,123330.920559172
2013-07-05,69.8,123007.927944514
2013-07-05,69,122684.935329857
2013-07-05,69.8,122361.942715199
2013-07-05,72,122038.950100542
2013-07-05,73.4,121715.957485885
2013-07-05,73,121392.964871227
2013-07-05,75.2,121069.97225657
2013-07-05,75,120746.979641912
2013-07-05,75.2,120423.987027255
2013-07-05,78,120100.994412598
2013-07-05,78.8,119778.00179794
2013-07-05,79,119455.009183283
2013-07-05,80.6,119089.061360507
2013-07-05,81,118723.11353773
2013-07-05,80.6,118357.165714954
2013-07-05,82,117991.217892177
2013-07-05,82.4,117625.270069401
2013-07-05,81,117259.322246625
2013-07-05,82.4,116893.374423848
2013-07-05,82,116527.426601072
2013-07-05,82.4,116161.478778296
2013-07-05,81,115795.530955519
2013-07-05,80.6,115429.583132743
2013-07-05,78,115063.635309967
2013-07-05,78.8,114697.68748719
2013-07-05,79,114331.739664414
2013-07-05,78.8,113965.791841637
2013-07-05,77,113747.61858003
2013-07-05,77,113529.445318423
2013-07-05,77,113311.272056816
2013-07-05,75.2,113093.098795209
2013-07-05,75,112874.925533601
2013-07-05,73.4,112656.752271994
2013-07-05,73,112438.579010387
2013-07-05,71.6,112220.40574878
2013-07-05,71,112002.232487172
2013-07-05,69.8,111784.059225565
2013-07-05,70,111565.885963958
2013-07-05,69.8,111347.712702351
2013-07-05,70,111129.539440743
2013-07-05,69.8,110911.366179136
2013-07-06,69,110693.192917529
2013-07-06,68,110575.368615535
2013-07-06,68,110457.544313541
2013-07-06,68,110339.720011547
2013-07-06,68,110221.895709553
2013-07-06,68,110104.071407559
2013-07-06,67,109986.247105565
2013-07-06,68,109868.422803571
2013-07-06,66,109750.598501577
2013-07-06,66.2,109632.774199583
2013-07-06,66,109514.949897589
2013-07-06,66.2,109397.125595595
2013-07-06,65,109279.301293601
2013-07-06,66.2,109161.476991607
2013-07-06,67,109043.652689613
2013-07-06,69.8,108925.828387619
2013-07-06,72,108808.119526573
2013-07-06,71.6,108690.410665527
2013-07-06,75,108572.701804481
2013-07-06,77,108454.992943435
2013-07-06,76,108337.284082389
2013-07-06,78.8,108219.575221343
2013-07-06,78,108101.866360297
2013-07-06,78.8,107984.157499251
2013-07-06,81,107866.448638205
2013-07-06,82.4,107748.739777159
2013-07-06,81,107631.030916113
2013-07-06,82.4,107513.322055067
2013-07-06,80,107395.613194021
2013-07-06,80.6,107277.904332975
2013-07-06,80,107160.195471929
2013-07-06,80.6,107083.504016448
2013-07-06,80,107006.812560968
2013-07-06,78.8,106930.121105487
2013-07-06,79,106853.429650007
2013-07-06,78.8,106776.738194526
2013-07-06,78,106700.046739046
2013-07-06,75.2,106623.355283565
2013-07-06,74,106546.663828085
2013-07-06,73.4,106469.972372605
