DATUM,CAS,SUM_of_MNOZSTVO
02/07/2013,1185,122325.40043
02/07/2013,1200,119740.01976
02/07/2013,1215,118834.61087
02/07/2013,1230,117394.03951
02/07/2013,1245,115304.42408
02/07/2013,1260,114358.83835
02/07/2013,1275,113489.73035
02/07/2013,1290,112837.74206
02/07/2013,1305,112098.18448
02/07/2013,1320,109215.79432
03/07/2013,-105,106190.27215
03/07/2013,-90,104540.11165
03/07/2013,-75,103638.66319
03/07/2013,-60,102799.15236
03/07/2013,-45,103832.124
03/07/2013,-30,103133.25419
03/07/2013,-15,102760.85692
03/07/2013,0,103001.64435
03/07/2013,15,102508.25975
03/07/2013,30,102212.41952
03/07/2013,45,101814.14386
03/07/2013,60,102571.47947
03/07/2013,75,101752.41425
03/07/2013,90,101310.57415
03/07/2013,105,99996.220881
03/07/2013,120,99908.738838
03/07/2013,135,102443.33802
03/07/2013,150,104087.21602
03/07/2013,165,104374.91486
03/07/2013,180,104611.8119
03/07/2013,195,107384.41351
03/07/2013,210,108224.66426
03/07/2013,225,110978.49328
03/07/2013,240,112626.47132
03/07/2013,255,118561.59336
03/07/2013,270,122355.46014
03/07/2013,285,124799.04316
03/07/2013,300,127923.97407
03/07/2013,315,132216.0663
03/07/2013,330,135334.89847
03/07/2013,345,137976.80474
03/07/2013,360,140763.27335
03/07/2013,375,144653.6891
03/07/2013,390,147223.64522
03/07/2013,405,147859.62849
03/07/2013,420,150010.48736
03/07/2013,435,153838.90078
03/07/2013,450,155399.57122
03/07/2013,465,156593.69249
03/07/2013,480,157744.73852
03/07/2013,495,160115.84275
03/07/2013,510,160606.9313
03/07/2013,525,159297.09021
03/07/2013,540,158395.32148
03/07/2013,555,158918.70328
03/07/2013,570,158279.86428
03/07/2013,585,159938.01575
03/07/2013,600,160696.84579
03/07/2013,615,162138.60934
03/07/2013,630,162376.84572
03/07/2013,645,162802.68634
03/07/2013,660,162680.99871
03/07/2013,675,163428.56595
03/07/2013,690,163328.20695
03/07/2013,705,161854.58034
03/07/2013,720,159829.5002
03/07/2013,735,160016.97649
03/07/2013,750,162153.2386
03/07/2013,765,161359.33687
03/07/2013,780,160313.00628
03/07/2013,795,158589.94809
03/07/2013,810,158737.4987
03/07/2013,825,157577.46757
03/07/2013,840,156543.66741
03/07/2013,855,154157.82717
03/07/2013,870,151829.82494
03/07/2013,885,149296.69732
03/07/2013,900,149158.21939
03/07/2013,915,149023.72589
03/07/2013,930,147425.15871
03/07/2013,945,146616.42246
03/07/2013,960,146058.09788
03/07/2013,975,142621.42947
03/07/2013,990,141507.58901
03/07/2013,1005,140989.64356
03/07/2013,1020,139323.54409
03/07/2013,1035,136946.67898
03/07/2013,1050,136566.57299
03/07/2013,1065,135485.75312
03/07/2013,1080,134125.33299
03/07/2013,1095,132466.22529
03/07/2013,1110,131192.31589
03/07/2013,1125,129375.09845
03/07/2013,1140,129659.04541
03/07/2013,1155,126424.02283
03/07/2013,1170,124718.8468
03/07/2013,1185,123147.95493
03/07/2013,1200,120139.9202
03/07/2013,1215,117376.87468
03/07/2013,1230,116970.92872
03/07/2013,1245,115490.41845
03/07/2013,1260,114795.01275
03/07/2013,1275,113259.28135
03/07/2013,1290,112361.49342
03/07/2013,1305,111555.31435
03/07/2013,1320,109824.19889
04/07/2013,-105,107795.26745
04/07/2013,-90,107049.17258
04/07/2013,-75,105894.09986
04/07/2013,-60,105057.56003
04/07/2013,-45,105609.95482
04/07/2013,-30,105461.10141
04/07/2013,-15,104497.7264
04/07/2013,0,104559.55
04/07/2013,15,105039.57265
04/07/2013,30,104516.58289
04/07/2013,45,104490.63146
04/07/2013,60,104781.71768
04/07/2013,75,104808.6043
04/07/2013,90,103812.48033
04/07/2013,105,102464.84851
04/07/2013,120,103771.05155
04/07/2013,135,105599.77044
04/07/2013,150,107288.85058
04/07/2013,165,107567.34821
04/07/2013,180,107815.34299
04/07/2013,195,108710.7476
04/07/2013,210,109876.5811
04/07/2013,225,112475.20357
04/07/2013,240,114968.68421
04/07/2013,255,121653.48138
04/07/2013,270,125423.86606
04/07/2013,285,128167.47257
04/07/2013,300,131049.67695
04/07/2013,315,135705.03219
04/07/2013,330,138015.37335
04/07/2013,345,141599.41911
04/07/2013,360,145790.10961
04/07/2013,375,149097.03396
04/07/2013,390,151398.70474
04/07/2013,405,152532.58439
04/07/2013,420,155316.31784
04/07/2013,435,157888.80999
04/07/2013,450,158787.36811
04/07/2013,465,161042.45971
04/07/2013,480,161754.42626
04/07/2013,495,162314.17643
04/07/2013,510,164301.57713
04/07/2013,525,164099.6491
04/07/2013,540,163641.02358
04/07/2013,555,164111.72672
04/07/2013,570,163562.58672
04/07/2013,585,163622.65669
04/07/2013,600,164493.63304
04/07/2013,615,165095.67166
04/07/2013,630,166435.06656
04/07/2013,645,166620.49758
04/07/2013,660,166376.77527
04/07/2013,675,166067.10028
04/07/2013,690,165822.36546
04/07/2013,705,165203.49299
04/07/2013,720,163455.0694
04/07/2013,735,162089.31791
04/07/2013,750,161871.48363
04/07/2013,765,161597.40052
04/07/2013,780,160643.32361
04/07/2013,795,159013.68761
04/07/2013,810,157689.4878
04/07/2013,825,157027.60536
04/07/2013,840,156022.36421
04/07/2013,855,154372.2439
04/07/2013,870,153114.5544
04/07/2013,885,151791.48717
04/07/2013,900,150038.35093
04/07/2013,915,148468.86159
04/07/2013,930,147291.97398
04/07/2013,945,146498.08556
04/07/2013,960,145084.11629
04/07/2013,975,142835.1559
04/07/2013,990,142086.31702
04/07/2013,1005,141276.04728
04/07/2013,1020,140133.32962
04/07/2013,1035,138054.69351
04/07/2013,1050,136639.29693
04/07/2013,1065,135693.10995
04/07/2013,1080,133444.3658
04/07/2013,1095,130985.3531
04/07/2013,1110,129878.56031
04/07/2013,1125,129361.33245
04/07/2013,1140,127931.55653
04/07/2013,1155,126854.84956
04/07/2013,1170,125570.59707
04/07/2013,1185,123557.31051
04/07/2013,1200,120180.648
04/07/2013,1215,119343.64408
04/07/2013,1230,118053.44449
04/07/2013,1245,116129.78241
04/07/2013,1260,115826.68034
04/07/2013,1275,113924.03955
04/07/2013,1290,112699.80981
04/07/2013,1305,111828.13564
04/07/2013,1320,109909.56564
05/07/2013,-105,105593.31621
05/07/2013,-90,104593.50842
05/07/2013,-75,103648.96192
05/07/2013,-60,103097.61441
05/07/2013,-45,103681.59109
05/07/2013,-30,103169.56765
05/07/2013,-15,103000.1306
05/07/2013,0,102237.24568
05/07/2013,15,102230.70633
05/07/2013,30,101710.86288
05/07/2013,45,101356.39736
05/07/2013,60,101727.83209
05/07/2013,75,101311.40215
05/07/2013,90,101473.95857
05/07/2013,105,100513.7737
05/07/2013,120,100909.597
05/07/2013,135,103082.48072
05/07/2013,150,104148.21515
05/07/2013,165,104149.45765
05/07/2013,180,103325.48036
05/07/2013,195,103966.68802
05/07/2013,210,104832.69199
05/07/2013,225,104159.66081
05/07/2013,240,102265.13491
05/07/2013,255,105454.19762
05/07/2013,270,107453.9072
05/07/2013,285,106809.33077
05/07/2013,300,107585.3212
05/07/2013,315,110044.29725
05/07/2013,330,110952.44325
05/07/2013,345,111991.96726
05/07/2013,360,112244.88514
05/07/2013,375,113552.94397
05/07/2013,390,114388.87909
05/07/2013,405,114206.67089
05/07/2013,420,115343.01455
05/07/2013,435,117340.86066
05/07/2013,450,119295.84308
05/07/2013,465,120748.21291
05/07/2013,480,121435.02355
05/07/2013,495,122675.20854
05/07/2013,510,123400.72112
05/07/2013,525,124271.02888
05/07/2013,540,124315.42673
05/07/2013,555,124271.45664
05/07/2013,570,124785.44782
05/07/2013,585,124617.74412
05/07/2013,600,125638.95627
05/07/2013,615,126773.57069
05/07/2013,630,127332.75365
05/07/2013,645,127810.2322
05/07/2013,660,126910.38571
05/07/2013,675,126120.96022
05/07/2013,690,126363.63609
05/07/2013,705,126129.722
05/07/2013,720,125326.46914
05/07/2013,735,125436.57948
05/07/2013,750,127082.4977
05/07/2013,765,127049.65206
05/07/2013,780,125611.61869
05/07/2013,795,125315.8097
05/07/2013,810,125426.32842
05/07/2013,825,125472.60611
05/07/2013,840,124287.59068
05/07/2013,855,123216.63753
05/07/2013,870,122335.71894
05/07/2013,885,121794.47435
05/07/2013,900,122092.49634
05/07/2013,915,120647.21965
