,electrometer,postcode,location,rows,f
73,1650,639 00,Brno - krobárny,69985,data/ceskedata/CZ_data_1/1650.csv
74,1651,720 00,Ostrava - Hrabová, fáze I.,69985,data/ceskedata/CZ_data_1/1651.csv
75,1653,639 00,Brno - Spielberk,69985,data/ceskedata/CZ_data_1/1653.csv
76,1654,,,69985,data/ceskedata/CZ_data_1/1654.csv
77,1655,,,69985,data/ceskedata/CZ_data_1/1655.csv
78,1656,301 00,Plzeò, Borská pole,69985,data/ceskedata/CZ_data_1/1656.csv
79,1658,,,69985,data/ceskedata/CZ_data_1/1658.csv
80,1659,,,69985,data/ceskedata/CZ_data_1/1659.csv
81,166,691 23,Pohoøelice II,69985,data/ceskedata/CZ_data_1/166.csv
82,1662,,,69985,data/ceskedata/CZ_data_1/1662.csv
83,1667,348 02,Bor u Tachova, Nová Hospoda,69985,data/ceskedata/CZ_data_1/1667.csv
84,167,691 23,Pohoøelice II,69985,data/ceskedata/CZ_data_1/167.csv
85,1672,359 02,Bor u Tachova, Nová Hospoda,69985,data/ceskedata/CZ_data_1/1672.csv
86,168,691 23,Pohoøelice II,69985,data/ceskedata/CZ_data_1/168.csv
87,1684,,,69985,data/ceskedata/CZ_data_1/1684.csv
88,1685,,,69985,data/ceskedata/CZ_data_1/1685.csv
89,1686,,,69985,data/ceskedata/CZ_data_1/1686.csv
90,1687,,,69985,data/ceskedata/CZ_data_1/1687.csv
91,1688,,,69985,data/ceskedata/CZ_data_1/1688.csv
92,1689,,,69985,data/ceskedata/CZ_data_1/1689.csv
93,169,691 23,Pohoøelice II,69985,data/ceskedata/CZ_data_1/169.csv
94,1690,,,69985,data/ceskedata/CZ_data_1/1690.csv
95,1691,,,69985,data/ceskedata/CZ_data_1/1691.csv
96,1692,,,69985,data/ceskedata/CZ_data_1/1692.csv
97,1693,,,69985,data/ceskedata/CZ_data_1/1693.csv
98,1694,,,69985,data/ceskedata/CZ_data_1/1694.csv
99,1695,,,69985,data/ceskedata/CZ_data_1/1695.csv
100,1696,,,69985,data/ceskedata/CZ_data_1/1696.csv
101,1697,,,69985,data/ceskedata/CZ_data_1/1697.csv
102,1698,,,69985,data/ceskedata/CZ_data_1/1698.csv
103,1699,,,69985,data/ceskedata/CZ_data_1/1699.csv
104,17,664 51,lapanice,69985,data/ceskedata/CZ_data_1/17.csv
105,170,691 23,Pohoøelice II,69985,data/ceskedata/CZ_data_1/170.csv
106,1700,,,69985,data/ceskedata/CZ_data_1/1700.csv
107,1701,,,69985,data/ceskedata/CZ_data_1/1701.csv
108,1702,,,69985,data/ceskedata/CZ_data_1/1702.csv
109,1703,,,69985,data/ceskedata/CZ_data_1/1703.csv
110,1704,,,69985,data/ceskedata/CZ_data_1/1704.csv
111,1705,,,69985,data/ceskedata/CZ_data_1/1705.csv
112,1706,,,69985,data/ceskedata/CZ_data_1/1706.csv
113,1707,,,69985,data/ceskedata/CZ_data_1/1707.csv
114,1708,,,69985,data/ceskedata/CZ_data_1/1708.csv
115,1709,,,69985,data/ceskedata/CZ_data_1/1709.csv
116,171,691 23,Pohoøelice II,69985,data/ceskedata/CZ_data_1/171.csv
117,1710,,,69985,data/ceskedata/CZ_data_1/1710.csv
118,1711,,,69985,data/ceskedata/CZ_data_1/1711.csv
119,1712,,,69985,data/ceskedata/CZ_data_1/1712.csv
120,1713,,,69985,data/ceskedata/CZ_data_1/1713.csv
