,electrometer,postcode,location,rows,f
84,610,,,78913,data/cz/133480_20140101_20160402.csv
85,768,,,72565,data/cz/133481_20150220_20170317.csv
86,486,639 00,Brno - Spielberk,112664,data/cz/133482_20131230_20170317.csv
87,583,,,112665,data/cz/133483_20131230_20170317.csv
88,607,365 02,Bor u Tachova, Nová Hospoda,11713,data/cz/133492_20131231_20140502.csv
89,584,,,112665,data/cz/133516_20131230_20170317.csv
90,585,,,112665,data/cz/133517_20131230_20170317.csv
91,586,,,112665,data/cz/133518_20131230_20170317.csv
92,587,,,112665,data/cz/133519_20131230_20170317.csv
93,620,,,78913,data/cz/133765_20140101_20160402.csv
94,736,,,78242,data/cz/133766_20141223_20170317.csv
95,588,,,112665,data/cz/133767_20131230_20170317.csv
96,589,,,112665,data/cz/133768_20131230_20170317.csv
97,626,639 00,Brno - Škrobárny,78913,data/cz/133769_20140101_20160402.csv
98,590,,,112665,data/cz/133770_20131230_20170317.csv
99,591,,,112665,data/cz/133771_20131230_20170317.csv
100,595,,,112665,data/cz/133772_20131230_20170317.csv
101,487,639 00,Brno - Spielberk,112664,data/cz/133773_20131230_20170317.csv
102,534,,,112665,data/cz/134143_20131230_20170317.csv
103,535,,,112665,data/cz/134152_20131230_20170317.csv
104,639,,,78913,data/cz/134669_20140101_20160402.csv
105,636,,,78913,data/cz/134700_20140101_20160402.csv
106,536,,,112665,data/cz/134712_20131230_20170317.csv
107,537,,,112665,data/cz/134713_20131230_20170317.csv
108,538,,,112665,data/cz/134714_20131230_20170317.csv
109,539,,,112665,data/cz/134715_20131230_20170317.csv
110,625,,,30463,data/cz/134716_20160504_20170317.csv
111,540,,,112665,data/cz/134717_20131230_20170317.csv
112,541,,,112665,data/cz/134718_20131230_20170317.csv
113,542,,,112665,data/cz/134719_20131230_20170317.csv
114,543,,,112665,data/cz/134720_20131230_20170317.csv
115,544,,,112665,data/cz/134721_20131230_20170317.csv
116,545,,,112665,data/cz/134776_20131230_20170317.csv
117,546,,,112665,data/cz/134795_20131230_20170317.csv
118,860,,,38209,data/cz/134811_20150301_20160402.csv
119,547,,,112665,data/cz/134842_20131230_20170317.csv
120,548,,,112665,data/cz/134843_20131230_20170317.csv
121,624,639 00,Brno - Škrobárny,21121,data/cz/134844_20140101_20140809.csv
122,549,,,112665,data/cz/134845_20131230_20170317.csv
123,550,,,112665,data/cz/134846_20131230_20170317.csv
124,551,,,112665,data/cz/134847_20131230_20170317.csv
125,552,,,112665,data/cz/134848_20131230_20170317.csv
126,553,,,112665,data/cz/134850_20131230_20170317.csv
127,554,,,112665,data/cz/134851_20131230_20170317.csv
128,555,,,11617,data/cz/134852_20140101_20140502.csv
129,556,,,112665,data/cz/134853_20131230_20170317.csv
130,557,,,112665,data/cz/134854_20131230_20170317.csv
131,769,,,72566,data/cz/134856_20150220_20170317.csv
132,558,,,112665,data/cz/134861_20131230_20170317.csv
133,559,,,112665,data/cz/134862_20131230_20170317.csv
134,560,,,112665,data/cz/134863_20131230_20170317.csv
135,561,,,112665,data/cz/134864_20131230_20170317.csv
136,770,,,72566,data/cz/134879_20150220_20170317.csv
137,562,,,112665,data/cz/134880_20131230_20170317.csv
138,563,,,112665,data/cz/134882_20131230_20170317.csv
139,564,,,112665,data/cz/134884_20131230_20170317.csv
140,565,,,112665,data/cz/134885_20131230_20170317.csv
141,566,,,112665,data/cz/134886_20131230_20170317.csv
142,567,,,112665,data/cz/134887_20131230_20170317.csv
143,568,,,112665,data/cz/134888_20131230_20170317.csv
144,569,,,112665,data/cz/134889_20131230_20170317.csv
145,570,,,112665,data/cz/134890_20131230_20170317.csv
146,571,,,112665,data/cz/134891_20131230_20170317.csv
147,572,,,112665,data/cz/134892_20131230_20170317.csv
148,771,,,72566,data/cz/134893_20150220_20170317.csv
149,573,,,112665,data/cz/134894_20131230_20170317.csv
150,574,,,112665,data/cz/134895_20131230_20170317.csv
151,575,,,112665,data/cz/134896_20131230_20170317.csv
152,576,,,112665,data/cz/134897_20131230_20170317.csv
153,577,,,112665,data/cz/134898_20131230_20170317.csv
154,578,,,112665,data/cz/134899_20131230_20170317.csv
155,635,,,78913,data/cz/134927_20140101_20160402.csv
156,637,,,78913,data/cz/134928_20140101_20160402.csv
157,643,639 00,Brno - Spielberk,78913,data/cz/134929_20140101_20160402.csv
158,772,,,72566,data/cz/135072_20150220_20170317.csv
159,638,,,78913,data/cz/135076_20140101_20160402.csv
160,642,,,78913,data/cz/135080_20140101_20160402.csv
161,870,,,38209,data/cz/135304_20150301_20160402.csv
162,773,,,72566,data/cz/135305_20150220_20170317.csv
163,640,,,78913,data/cz/135307_20140101_20160402.csv
164,774,,,72566,data/cz/135308_20150220_20170317.csv
165,775,,,72566,data/cz/135309_20150220_20170317.csv
166,592,,,112665,data/cz/135310_20131230_20170317.csv
167,617,,,79009,data/cz/135311_20131231_20160402.csv
168,629,,,78913,data/cz/135312_20140101_20160402.csv
169,596,639 00,Brno - Spielberk,112665,data/cz/135313_20131230_20170317.csv
170,826,,,97,data/cz/135314_20151101_20151102.csv
171,634,,,78913,data/cz/135315_20140101_20160402.csv
172,904,,,72536,data/cz/135316_20150221_20170317.csv
173,730,639 00,Brno - Škrobárny,51553,data/cz/135476_20141013_20160402.csv
174,600,,,112665,data/cz/135960_20131230_20170317.csv
175,58,301 00,Plze?, Borská pole,32737,data/cz/137757_20140101_20141208.csv
176,57,301 00,Plze?, Borská pole,32737,data/cz/138143_20140101_20141208.csv
177,330,639 00,Brno - Škrobárny,78913,data/cz/139499_20140101_20160402.csv
178,674,,,92123,data/cz/14145137_20140801_20170317.csv
179,675,,,91277,data/cz/14154035_20140809_20170317.csv
180,676,,,91131,data/cz/14154121_20140811_20170317.csv
181,677,,,91131,data/cz/14154124_20140811_20170317.csv
182,678,,,91277,data/cz/14154149_20140809_20170317.csv
183,679,,,91131,data/cz/14154154_20140811_20170317.csv
184,680,,,91131,data/cz/14154160_20140811_20170317.csv
185,681,,,91131,data/cz/14154176_20140811_20170317.csv
186,682,,,91131,data/cz/14154178_20140811_20170317.csv
187,683,,,91131,data/cz/14154184_20140811_20170317.csv
188,684,,,91277,data/cz/14154189_20140809_20170317.csv
189,685,,,91277,data/cz/14154191_20140809_20170317.csv
190,686,,,91131,data/cz/14154195_20140811_20170317.csv
191,687,,,88916,data/cz/14154203_20140811_20170222.csv
192,724,252 68,Kn?ževes,86207,data/cz/14154205_20141001_20170317.csv
193,688,,,91277,data/cz/14154219_20140809_20170317.csv
194,865,639 00,Brno - Spielberk,46226,data/cz/14192010_20150101_20160426.csv
195,716,,,88231,data/cz/14195027_20140818_20170222.csv
196,689,,,88922,data/cz/14195073_20140811_20170222.csv
197,690,,,91131,data/cz/14195075_20140811_20170317.csv
198,691,,,91131,data/cz/14201042_20140811_20170317.csv
199,692,,,88916,data/cz/14201079_20140811_20170222.csv
200,693,,,88916,data/cz/14202017_20140811_20170222.csv
201,694,,,88916,data/cz/14202098_20140811_20170222.csv
202,695,,,91131,data/cz/14202100_20140811_20170317.csv
203,696,,,91131,data/cz/14202101_20140811_20170317.csv
204,697,,,91131,data/cz/14202102_20140811_20170317.csv
205,698,,,91131,data/cz/14202106_20140811_20170317.csv
206,699,,,91131,data/cz/14202107_20140811_20170317.csv
207,700,,,88916,data/cz/14202108_20140811_20170222.csv
208,701,,,91131,data/cz/14202142_20140811_20170317.csv
209,702,,,91277,data/cz/14202143_20140809_20170317.csv
210,703,,,88916,data/cz/14202146_20140811_20170222.csv
211,704,,,88916,data/cz/14202147_20140811_20170222.csv
212,705,,,91277,data/cz/14202151_20140809_20170317.csv
213,706,,,91131,data/cz/14202154_20140811_20170317.csv
214,707,,,91131,data/cz/14202156_20140811_20170317.csv
215,708,,,91277,data/cz/14202158_20140809_20170317.csv
216,784,,,28689,data/cz/14215045_20151111_20160905.csv
217,709,,,91277,data/cz/14224009_20140809_20170317.csv
218,710,,,91131,data/cz/14224024_20140811_20170317.csv
219,785,,,71999,data/cz/14224032_20150226_20170317.csv
220,711,,,91131,data/cz/14224037_20140811_20170317.csv
221,786,,,71999,data/cz/14224049_20150226_20170317.csv
222,712,,,91131,data/cz/14225081_20140811_20170317.csv
223,787,,,71999,data/cz/14225108_20150226_20170317.csv
224,788,,,21408,data/cz/14225122_20150226_20151007.csv
225,876,,,67510,data/cz/14225129_20150414_20170317.csv
226,713,,,88916,data/cz/14234001_20140811_20170222.csv
227,789,,,71999,data/cz/14244034_20150226_20170317.csv
228,790,,,71999,data/cz/14244069_20150226_20170317.csv
229,791,,,71999,data/cz/14244081_20150226_20170317.csv
230,792,,,71999,data/cz/14244084_20150226_20170317.csv
231,793,,,71999,data/cz/14244121_20150226_20170317.csv
232,877,,,67510,data/cz/14245002_20150414_20170317.csv
233,794,,,71999,data/cz/14245019_20150226_20170317.csv
234,878,,,67510,data/cz/14245037_20150414_20170317.csv
235,879,,,67510,data/cz/14245038_20150414_20170317.csv
236,714,,,91131,data/cz/14246061_20140811_20170317.csv
237,725,,,86207,data/cz/14322141_20141001_20170317.csv
238,728,252 68,Kn?ževes,83771,data/cz/14322142_20141027_20170317.csv
239,893,352 02,Bor u Tachova, Nová Hospoda,67452,data/cz/14334074_20150415_20170317.csv
240,887,,,67510,data/cz/14336024_20150414_20170317.csv
241,880,,,67510,data/cz/14336055_20150414_20170317.csv
242,795,,,71999,data/cz/14346142_20150226_20170317.csv
243,796,,,71999,data/cz/14346145_20150226_20170317.csv
244,797,,,71999,data/cz/14346281_20150226_20170317.csv
245,798,,,71999,data/cz/14346289_20150226_20170317.csv
246,799,,,71999,data/cz/14346292_20150226_20170317.csv
247,800,,,71999,data/cz/14346324_20150226_20170317.csv
248,801,,,71999,data/cz/14346339_20150226_20170317.csv
249,892,301 00,Plze?, Borská pole,35137,data/cz/14353004_20150402_20160402.csv
250,891,301 00,Plze?, Borská pole,35137,data/cz/14353005_20150402_20160402.csv
251,847,,,74460,data/cz/14353032_20150201_20170317.csv
252,947,,,38946,data/cz/14353037_20150221_20160402.csv
253,848,368 02,Bor u Tachova,40259,data/cz/14353070_20150207_20160401.csv
254,888,,,67510,data/cz/14353080_20150414_20170317.csv
255,881,,,67510,data/cz/14354002_20150414_20170317.csv
256,849,365 02,Bor u Tachova, Nová Hospoda,73884,data/cz/14354039_20150207_20170317.csv
257,882,,,40348,data/cz/14354042_20150414_20160607.csv
258,883,,,38300,data/cz/14354044_20150414_20160517.csv
259,884,,,67510,data/cz/14354061_20150414_20170317.csv
260,802,,,71999,data/cz/14355017_20150226_20170317.csv
261,803,,,71999,data/cz/14355022_20150226_20170317.csv
262,804,,,71999,data/cz/14355024_20150226_20170317.csv
263,805,,,71999,data/cz/14355025_20150226_20170317.csv
264,806,,,71999,data/cz/14355028_20150226_20170317.csv
265,807,,,21408,data/cz/14355034_20150226_20151007.csv
266,808,,,71999,data/cz/14355035_20150226_20170317.csv
267,809,,,71999,data/cz/14355037_20150226_20170317.csv
268,810,,,71999,data/cz/14355038_20150226_20170317.csv
269,811,,,71999,data/cz/14355039_20150226_20170317.csv
270,812,,,71999,data/cz/14355040_20150226_20170317.csv
271,813,,,28261,data/cz/14355042_20150226_20151218.csv
272,814,,,71999,data/cz/14355043_20150226_20170317.csv
273,815,,,71999,data/cz/14355044_20150226_20170317.csv
274,816,,,71999,data/cz/14355045_20150226_20170317.csv
275,817,,,71999,data/cz/14355051_20150226_20170317.csv
276,818,,,71999,data/cz/14355054_20150226_20170317.csv
277,819,,,71999,data/cz/14355055_20150226_20170317.csv
278,820,,,72000,data/cz/14355056_20150226_20170317.csv
279,821,,,72000,data/cz/14355057_20150226_20170317.csv
280,822,,,72000,data/cz/14355059_20150226_20170317.csv
281,823,,,72000,data/cz/14355061_20150226_20170317.csv
282,777,,,72563,data/cz/14415088_20150220_20170317.csv
283,778,,,72563,data/cz/14432013_20150220_20170317.csv
284,779,,,72563,data/cz/14432051_20150220_20170317.csv
285,781,,,72563,data/cz/14432054_20150220_20170317.csv
286,780,,,72563,data/cz/14432056_20150220_20170317.csv
287,923,,,2,data/cz/1444302903_20150221_20150221.csv
288,924,,,2,data/cz/1444302904_20150221_20150221.csv
289,925,,,2,data/cz/1444302905_20150221_20150221.csv
290,926,,,2,data/cz/1444302906_20150221_20150221.csv
291,927,,,2,data/cz/1444302907_20150221_20150221.csv
